Generation,Makespan
1,2571
2,2528
3,2479
4,2479
5,2479
6,2448
7,2448
8,2425
9,2425
10,2425
11,2425
12,2425
13,2425
14,2420
15,2420
16,2420
17,2420
18,2420
19,2420
20,2420
21,2420
22,2420
23,2420
24,2407
25,2407
26,2407
27,2407
28,2407
29,2407
30,2407
31,2407
32,2406
33,2406
34,2405
35,2405
36,2405
37,2405
38,2402
39,2402
40,2402
41,2402
42,2402
43,2383
44,2383
45,2383
46,2383
47,2383
48,2383
49,2383
50,2383
51,2383
52,2383
53,2383
54,2383
55,2383
56,2383
57,2383
58,2383
59,2383
60,2383
61,2383
62,2383
63,2383
64,2383

